"CSquare","VME_index","Uncertainty_score","VME_Class","Uncertainty_Class","VME_Class_Name","Conf_Name"
"7405:390:130:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:134:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:141:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:141:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:142:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:143:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:207:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:208:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:208:4",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:209:2",2.48117618,0.773082305,0,"2","Low","High"
"7405:390:209:4",2.48117618,0.612372436,0,"1","Low","Medium"
"7405:390:215:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:216:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:217:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:218:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:218:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:219:2",2.48117618,0.612372436,0,"1","Low","Medium"
"7405:390:226:3",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:227:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:227:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:228:3",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:229:1",2.48117618,0.612372436,0,"1","Low","Medium"
"7405:390:229:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:235:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:235:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:237:4",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:238:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:239:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:245:3",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:246:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:246:3",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:246:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:247:1",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:350:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:350:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:350:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:351:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:354:1",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:354:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:360:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:360:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:361:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:371:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:372:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:380:1",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:382:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:383:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:383:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:384:2",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:391:4",2.304540769,0.534000234,0,"1","Low","Medium"
"7405:390:392:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:392:2",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:392:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:393:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:394:2",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:455:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:456:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:459:1",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:459:4",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:465:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:466:3",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:467:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:468:2",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:469:2",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:475:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:476:1",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:476:3",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:477:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:478:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:479:2",2.48117618,0.612372436,0,"1","Low","Medium"
