Latitude,Longitude,Area
44.48731,-24.96838,MAR2_
44.37494,-25.28666,MAR2_
44.56889,-25.42612,MAR2_
44.79772,-25.33314,MAR2_
45.68403,-27.25707,MAR3_
45.47629,-27.14263,MAR3_
45.42863,-27.41799,MAR3_
45.2023,-27.62182,MAR3_
45.18718,-27.76129,MAR3_
45.49134,-27.87573,MAR3_
45.66904,-27.66831,MAR3_
45.66904,-27.25707,MAR3_
46.38435,-27.62182,MAR4_
46.0528,-27.64686,MAR4_
46.0528,-27.91864,MAR4_
46.39915,-27.91864,MAR4_
46.39915,-27.66831,MAR4_
47.5556,-27.43945,MAR5_
47.29188,-27.30356,MAR5_
47.29188,-27.8042,MAR5_
47.46381,-27.94367,MAR5_
47.72426,-27.8042,MAR5_
47.5556,-27.48593,MAR5_
60.9844,-27,Rridge
60.8811,-27.4432,Rridge
60.8893,-27.6897,Rridge
60.9592,-27.8432,Rridge
61.0295,-27.7756,Rridge
61.1569,-28.056,Rridge
61.1901,-28.0221,Rridge
60.9844,-27,Rridge
